Data,Ponto 1,Ponto 2,Ponto 3,Ponto 4,Justificativa
qua 01/01,,,,,
qui 02/01,"08:03
Entrada","14:00
Saída",,,
sex 03/01,"08:07
Entrada","14:00
Saída",,,
sáb 04/01,,,,,
dom 05/01,,,,,
seg 06/01,"08:04
Entrada","14:00
Saída",,,
ter 07/01,"08:02
Entrada","14:00
Saída",,,
qua 08/01,"08:00
Entrada","14:00
Saída",,,
qui 09/01,"08:01
Entrada","14:00
Saída",,,
sex 10/01,"08:03
Entrada","14:01
Saída",,,
sáb 11/01,,,,,
dom 12/01,,,,,
seg 13/01,"08:04
Entrada","14:06
Saída",,,
ter 14/01,"08:01
Entrada","14:02
Saída",,,
qua 15/01,"08:08
Entrada","14:00
Saída",,,
qui 16/01,"08:01
Entrada","14:01
Saída",,,
sex 17/01,"08:03
Entrada","14:00
Saída",,,
sáb 18/01,,,,,
dom 19/01,,,,,
seg 20/01,"08:05
Entrada","13:32
Saída",,,
ter 21/01,"08:01
Entrada","14:00
Saída",,,
qua 22/01,"08:01
Entrada","14:02
Saída",,,
qui 23/01,"08:07
Entrada","14:08
Saída",,,
sex 24/01,"08:01
Entrada","14:04
Saída",,,
sáb 25/01,,,,,
dom 26/01,,,,,
seg 27/01,,,,,
ter 28/01,,,,,
qua 29/01,,,,,
qui 30/01,,,,,
sex 31/01,,,,,
sáb 01/02,,,,,
dom 02/02,,,,,
seg 03/02,"08:06
Entrada","14:00
Saída",,,
ter 04/02,"08:04
Entrada","14:46
Saída",,,
qua 05/02,"08:03
Entrada","14:02
Saída",,,
qui 06/02,"08:03
Entrada","14:20
Saída",,,
sex 07/02,"08:06
Entrada","14:00
Saída",,,
sáb 08/02,,,,,
dom 09/02,,,,,
seg 10/02,"08:00
Entrada","14:00
Saída",,,
ter 11/02,"08:01
Entrada","14:00
Saída",,,
qua 12/02,"08:01
Entrada","14:04
Saída",,,
qui 13/02,"08:04
Entrada","14:13
Saída",,,
sex 14/02,"08:05
Entrada","13:59
Saída",,,
sáb 15/02,,,,,
dom 16/02,,,,,
seg 17/02,"08:03
Entrada","12:54
Saída",,,
ter 18/02,"07:04
Entrada","12:51
Saída","14:02
Entrada","17:00
Início de inter.",
qua 19/02,"07:04
Entrada","12:58
Início de inter.","14:13
Volta de inter.","17:00
Saída",
qui 20/02,"07:06
Entrada","12:59
Início de inter.","14:13
Volta de inter.","17:01
Saída",
sex 21/02,"07:03
Entrada","13:00
Início de inter.","14:13
Volta de inter.","17:10
Saída",
sáb 22/02,,,,,
dom 23/02,,,,,
seg 24/02,"07:05
Entrada","13:09
Início de inter.","14:22
Volta de inter.","17:00
Saída",
ter 25/02,"07:04
Entrada","13:07
Início de inter.","14:20
Volta de inter.","17:02
Saída",
